from,fromType,to,toType
colonel rafael castro arista,0,rafael castro arista,1
colonel rene emilio,0,rene emilio,1
colonel rene emilio ponce,0,rene emilio ponce,1
colonel rene ponce,0,rene ponce,1
colonel ricardo alfonso casanova sandoval,0,ricardo alfonso casanova sandoval,1
colonel ricardo casanova,0,ricardo casanova,1
colonel rivas,0,rivas,1
colonel rodolfo vargas,0,rodolfo vargas,1
colonel rojas lobos,0,rojas lobos,1
colonel roman alfonso barrera,0,roman alfonso barrera,1
colonel sigifredo ochoa perez,0,sigifredo ochoa perez,1
colonel soto martinez,0,soto martinez,1
colonel valdemar franklin quintero,0,valdemar franklin quintero,1
colonel vargas,0,vargas,1
colonel waldemar franklin quintero,0,waldemar franklin quintero,1
colonel yair klein,0,yair klein,1
"commander ""franklin"" of the nicaraguan resistance (rn) general staff",0,franklin,1
commander adalino barberi,0,adalino barberi,1
commander amilcar,0,amilcar,1
commander ana maria,0,ana maria,1
commander aristides,0,aristides,1
commander aureliano,0,aureliano,1
commander bayardo arce,0,bayardo arce,1
commander borge,0,borge,1
commander carlos,0,carlos,1
commander christian pichardo,0,christian pichardo,1
commander cirilo,0,cirilo,1
commander claudio rabindranath armijo,0,claudio rabindranath armijo,1
commander daniel ortega,0,daniel ortega,1
commander eduardo sancho,0,eduardo sancho,1
commander esteban,0,esteban,1
commander facundo guardado,0,facundo guardado,1
commander ferman cienfuegos,0,ferman cienfuegos,1
commander francisco jovel,0,francisco jovel,1
commander gaspar,0,gaspar,1
commander gonzalez,0,gonzalez,1
commander joaquin villalobos,0,joaquin villalobos,1
commander jorge melendez,0,jorge melendez,1
commander jorge samudio,0,jorge samudio,1
commander jorge shafik handal,0,jorge shafik handal,1
commander leoncio pichinte,0,leoncio pichinte,1
commander leonel gonzalez,0,leonel gonzalez,1
commander marco chalita,0,marco chalita,1
commander mario lopez,0,mario lopez,1
commander martinez,0,martinez,1
"commander mercedes del carmen letona, also known as ""luisa.""",0,mercedes del carmen letona,1
commander miguel saenz of the farabundo marti national liberation front (fmln),0,miguel saenz,1
commander misael gallardo,0,misael gallardo,1
"commander nicolas alberto saravia, wilbert",0,nicolas alberto saravia,1
"commander nicolas alberto saravia, wilbert",0,wilbert,1
commander nunez,0,nunez,1
commander orlando morales,0,orlando morales,1
commander ortega,0,ortega,1
commander oscar,0,oscar,1
commander pizarro,0,pizarro,1
commander quintero,0,quintero,1
commander ricardo miranda,0,ricardo miranda,1
commander roberto roca,0,roberto roca,1
commander salvador sanchez ceren,0,salvador sanchez ceren,1
"commander salvador sanchez, alias commander leonel gonzalez",0,leonel gonzalez,1
"commander salvador sanchez, alias commander leonel gonzalez",0,salvador sanchez,1
commander shafik jorge handal,0,shafik jorge handal,1
commander venancio salvatierra,0,venancio salvatierra,1
commander villalobos,0,villalobos,1
commercial pilot ricardo de la cuesta marquez,0,ricardo de la cuesta marquez,1
communications minister carlos elmos,0,carlos elmos,1
communications minister carlos lemus,0,carlos lemus,1
communications minister mauricio sandoval,0,mauricio sandoval,1
communist leader jaime inzunza,0,jaime inzunza,1
communist leader jorge martinez,0,jorge martinez,1
communist leader volodia teitelboim,0,volodia teitelboim,1
communist party leader jorge martinez,0,jorge martinez,1
companero diego morales,0,diego morales,1
comptroller rodolfo gonzalez,0,rodolfo gonzalez,1
comrade antequera,0,antequera,1
comrade castro,0,castro,1
comrade forero,0,forero,1
comrade jose,0,jose,1
comrade leo cabral,0,leo cabral,1
comrade manuel cepeda,0,manuel cepeda,1
comrade mario,0,mario,1
comrade merino,0,merino,1
comrade mikhail gorbachev,0,mikhail gorbachev,1
comrade moises,0,comrade moises,1
comrade moises,1,comrade,2
comrade moises,1,moises,2
comrade otoniel,0,otoniel,1
comrade pizarro,0,pizarro,1
comrade rolando,0,rolando,1
comrade salvador samayoa,0,salvador samayoa,1
comrade samayoa,0,samayoa,1
comrade sancho,0,sancho,1
comrade villalobos,0,villalobos,1
comrade volodia teitelboim,0,volodia teitelboim,1
congress president ricardo valdivieso,0,ricardo valdivieso,1
conservative party leader alvaro gomez hurtado,0,alvaro gomez hurtado,1
conservative rodrigo lloreda caicedo,0,rodrigo lloreda caicedo,1
conservative senator alvaro leyva,0,alvaro leyva,1
consul humberto murillo,0,humberto murillo,1
"contra commander israel galeano, alias franklin",0,franklin,1
"contra commander israel galeano, alias franklin",0,israel galeano,1
contra commander manuel antonio rugama,0,manuel antonio rugama,1
"contra commander manuel rugama acevedo, alias ""aureliano.""",0,aureliano,1
"contra commander manuel rugama acevedo, alias ""aureliano.""",0,manuel rugama acevedo,1
contreras velez,1,contreras,2
contreras velez,1,velez,2
copper workers union leader guillermo medina,0,guillermo medina,1
coronel juan carlos carrillo,1,carlos,2
coronel juan carlos carrillo,1,carrillo,2
coronel juan carlos carrillo,1,coronel,2
coronel juan carlos carrillo,1,juan,2
corporal alexander molina granados,0,alexander molina granados,1
corporal alipio arcela madrid,0,alipio arcela madrid,1
corporal antonio contreras navarro,0,antonio contreras navarro,1
corporal aspilla cordoba,0,aspilla cordoba,1
corporal luis alberto chavez,0,luis alberto chavez,1
corporal luis cardenas valera,0,luis cardenas valera,1
corporal luis gaudani,0,luis gaudani,1
corporal ologuren garcia ortiz,0,ologuren garcia ortiz,1
corporal reinaldo macias fernandez,0,reinaldo macias fernandez,1
corporal rolando aiquipa contreras,0,rolando aiquipa contreras,1
costa rican ambassador jesus fernandez,0,jesus fernandez,1
costa rican foreign minister rodrigo madrigal,0,rodrigo madrigal,1
costa rican foreign minister rodrigo madrigal nieto,0,rodrigo madrigal nieto,1
costa rican president arias,0,arias,1
costa rican president oscar arias,0,oscar arias,1
costa rican president oscar arias sanchez,0,oscar arias sanchez,1
counselor carlota de lopez,0,carlota de lopez,1
counselor juan jose membreno,0,juan jose membreno,1
crispin tickell,1,crispin,2
crispin tickell,1,tickell,2
cristobal simon romerro,1,cristobal,2
cristobal simon romerro,1,romerro,2
cristobal simon romerro,1,simon,2
cth secretary general victor artiles,0,victor artiles,1
cuban ambassador lazaro mora,0,lazaro mora,1
cuban president castro,0,castro,1
cuban prime minister fidel castro,0,fidel castro,1
cuellar osorio,1,cuellar,2
cuellar osorio,1,osorio,2
dan quayle,1,dan,2
dan quayle,1,quayle,2
daniel ortega,1,daniel,2
daniel ortega,1,ortega,2
daniel ortega saavedra,1,daniel,2
daniel ortega saavedra,1,ortega,2
daniel ortega saavedra,1,saavedra,2
danilo barillas,1,barillas,2
danilo barillas,1,danilo,2
daniyel moqedi,1,daniyel,2
daniyel moqedi,1,moqedi,2
dante caputo,1,caputo,2
dante caputo,1,dante,2
dario castrillon,1,castrillon,2
dario castrillon,1,dario,2
dario quintero patino,1,dario,2
dario quintero patino,1,patino,2
dario quintero patino,1,quintero,2
das [administrative department of security] director miguel maza marquez,0,miguel maza marquez,1
david blundy,1,blundy,2
david blundy,1,david,2
david escobar,1,david,2
david escobar,1,escobar,2
david leslie kent,1,david,2
david leslie kent,1,kent,2
david leslie kent,1,leslie,2
david ochoa vasquez,1,david,2
david ochoa vasquez,1,ochoa,2
david ochoa vasquez,1,vasquez,2
david westeer corey,1,corey,2
david westeer corey,1,david,2
david westeer corey,1,westeer,2
davis leslie kent,1,davis,2
davis leslie kent,1,kent,2
davis leslie kent,1,leslie,2
de las flores,1,flores,2
de las flores,1,las,2
de pobres,1,pobres,2
de soto,1,soto,2
dead peruvian national police sergeant luis caceres tavara,0,luis caceres tavara,1
defense minister gen. hector alejandro gramajo,0,hector alejandro gramajo,1
defense minister general humberto larios,0,humberto larios,1
defense minister hector hormachea,0,hector hormachea,1
defense minister hector ormachea,0,hector ormachea,1
defense minister humberto romero,0,humberto romero,1
defense minister oscar botero,0,oscar botero,1
defense minister rabin,0,rabin,1
defense minister yitzhaq rabin,0,yitzhaq rabin,1
democratic convergence leader ruben zamora,0,ruben zamora,1
democratic senator christopher dodd,0,christopher dodd,1
denis guzman,1,denis,2
denis guzman,1,guzman,2
deputy chairman jose anteguera,0,jose anteguera,1
deputy defense minister colonel juan orlando zepeda,0,juan orlando zepeda,1
deputy defense minister colonel orlando zepeda,0,orlando zepeda,1
deputy federico zamora,0,federico zamora,1
deputy finances minister gustavo adolfo leiva,0,gustavo adolfo leiva,1
deputy foreign minister binyamin netanyahu,0,binyamin netanyahu,1
deputy foreign minister juan manuel castulovich,0,juan manuel,1
deputy foreign minister tinoco,0,tinoco,1
deputy gabriel jaime santamaria montoya,0,gabriel jaime santamaria montoya,1
deputy government minister jose noe rios,0,jose noe rios,1
deputy gustavo espinosa,0,gustavo espinosa,1
deputy interior minister colonel carlos figueroa,0,carlos figueroa,1
deputy interior minister walter costas,0,walter costas,1
deputy luis zamora,0,luis zamora,1
deputy miguel angel bartra,0,miguel angel bartra,1
deputy pablo li ormeno,0,pablo li ormeno,1
deputy prime minister yitzhaq navon,0,yitzhaq navon,1
deputy roberto angulo,0,roberto angulo,1
detective edison sanchez mendieta,0,edison sanchez mendieta,1
diana cordoba saldarriaga,1,cordoba,2
diana cordoba saldarriaga,1,diana,2
diana cordoba saldarriaga,1,saldarriaga,2
dic director colonel geovanni cardenas,0,geovanni cardenas,1
dictator martinez,0,martinez,1
dictator noriega,0,noriega,1
dictator ortega,0,ortega,1
diego cordovez,1,cordovez,2
diego cordovez,1,diego,2
diego montana,1,diego,2
diego montana,1,montana,2
diego montana cuellar,1,cuellar,2
diego montana cuellar,1,diego,2
diego montana cuellar,1,montana,2
diego morales,1,diego,2
diego morales,1,morales,2
dimas cedeno delgado,1,cedeno,2
dimas cedeno delgado,1,delgado,2
dimas cedeno delgado,1,dimas,2
dimas rodriguez,1,dimas,2
dimas rodriguez,1,rodriguez,2
dimitur stanishev,1,dimitur,2
dimitur stanishev,1,stanishev,2
director general miguel maza marquez,0,miguel maza marquez,1
director general octavio vargas silva,0,octavio vargas silva,1
director lieutenant colonel nivaldo madrinan,0,nivaldo madrinan,1
director maria julia hernandez,0,maria julia hernandez,1
director richard howard,0,richard howard,1
doctor francisco alaman,0,francisco alaman,1
doctor guillermo ungo,0,guillermo ungo,1
dolores isabel casanova porras,1,casanova,2
dolores isabel casanova porras,1,dolores,2
dolores isabel casanova porras,1,isabel,2
dolores isabel casanova porras,1,porras,2
domingo cavallo,1,cavallo,2
domingo cavallo,1,domingo,2
donal oliva,0,donal oliva,1
donal oliva,1,donal,2
donal oliva,1,oliva,2
dora milagros argueta maroquin,0,dora milagros argueta maroquin,1
dora milagros argueta maroquin,1,argueta,2
dora milagros argueta maroquin,1,dora,2
dora milagros argueta maroquin,1,maroquin,2
dora milagros argueta maroquin,1,milagros,2
dora vilchez,0,dora vilchez,1
dora vilchez,1,dora,2
dora vilchez,1,vilchez,2
dr amando lopez,0,amando lopez,1
dr andres restrepo londono,0,andres restrepo londono,1
dr antonio regalado,0,antonio regalado,1
dr antonio rodriguez porth,0,antonio rodriguez porth,1
dr assaf,0,assaf,1
dr colindres,0,colindres,1
dr custodio,0,custodio,1
dr eduardo colindres,0,eduardo colindres,1
dr francisco jose guerrero,0,francisco jose guerrero,1
dr guerrero,0,guerrero,1
dr guillermo cano,0,guillermo cano,1
dr gutierrez,0,gutierrez,1
dr ignacio ellacuria,0,ignacio ellacuria,1
dr ignacio martin baro,0,ignacio martin baro,1
dr jaime ventura,0,jaime ventura,1
dr jaramillo,0,jaramillo,1
dr jaramillo ossa,0,jaramillo ossa,1
dr jose antonio rodriguez porth,0,jose antonio rodriguez porth,1
dr julio alfredo samayoa,0,julio alfredo samayoa,1
dr marco antonio bogran,0,marco antonio bogran,1
dr oqueli,0,oqueli,1
dr ramon roberto garay,0,ramon roberto garay,1
dr ribrejo,0,ribrejo,1
dr ricardo arias calderon,0,ricardo arias calderon,1
dr rodriguez porth,0,rodriguez porth,1
dr samayoa,0,samayoa,1
dr segundo montes,0,segundo montes,1
dr turbay,0,turbay,1
dr. alvaro gomez,0,alvaro gomez,1
dr. andres pastrana,0,andres pastrana,1
dr. carlos lemos simmonds,0,carlos lemos simmonds,1
dr. francisco jose guerrero,0,francisco jose guerrero,1
dr. hector oqueli,0,hector oqueli,1
dr. ian alexander,0,ian alexander,1
dr. jaramillo,0,jaramillo,1
dr. lloreda,0,lloreda,1
dr. octavio pardo,0,octavio pardo,1
dr. oqueli,0,oqueli,1
dr. pardo,0,pardo,1
dr. rafael pardo,0,rafael pardo,1
dr. rafael pardo rueda,0,rafael pardo rueda,1
dr. santamaria,0,santamaria,1
dr. ungo,0,ungo,1
dr. virgilio barco,0,virgilio barco,1
drug baron rodriguez gacha,0,rodriguez gacha,1
drug kingping gonzalo rodriguez gacha (alias the mexican),0,gonzalo rodriguez gacha,1
drug kingping gonzalo rodriguez gacha (alias the mexican),0,the mexican,1
drug trafficker fabio ochoa,0,fabio ochoa,1
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0,jose gonzalo rodriguez gacha,1
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0,the mexican,1
drug trafficker pablo escobar gaviria,0,pablo escobar gaviria,1
economist eduardo martinez romero,0,eduardo martinez romero,1
economy minister pablo baraona,0,pablo baraona,1
ecopetrol president andres restrepo londono,0,andres restrepo londono,1
ecuadoran agriculture minister mario jalil,0,mario jalil,1
ecuadoran government minister andres vallejo,0,andres vallejo,1
edgar chacon,1,chacon,2
edgar chacon,1,edgar,2
edgar gutierrez castro,1,castro,2
edgar gutierrez castro,1,edgar,2
edgar gutierrez castro,1,gutierrez,2
edgar oblitas,1,edgar,2
edgar oblitas,1,oblitas,2
edgar palacios,1,edgar,2
edgar palacios,1,palacios,2
edgardo barros,1,barros,2
edgardo barros,1,edgardo,2
edgardo lopez grimaldo,1,edgardo,2
edgardo lopez grimaldo,1,grimaldo,2
edgardo lopez grimaldo,1,lopez,2
edison sanchez mendieta,1,edison,2
edison sanchez mendieta,1,mendieta,2
edison sanchez mendieta,1,sanchez,2
eduardo alfonso avila,1,alfonso,2
eduardo alfonso avila,1,avila,2
eduardo alfonso avila,1,eduardo,2
eduardo arevalo,1,arevalo,2
eduardo arevalo,1,eduardo,2
eduardo bauza,1,bauza,2
eduardo bauza,1,eduardo,2
eduardo colindres,1,colindres,2
eduardo colindres,1,eduardo,2
eduardo duhalde,1,duhalde,2
eduardo duhalde,1,eduardo,2
eduardo martinez romero,1,eduardo,2
eduardo martinez romero,1,martinez,2
eduardo martinez romero,1,romero,2
eduardo perez beltran,1,beltran,2
eduardo perez beltran,1,eduardo,2
eduardo perez beltran,1,perez,2
eduardo rolon diaz,1,diaz,2
eduardo rolon diaz,1,eduardo,2
eduardo rolon diaz,1,rolon,2
eduardo sancho,1,eduardo,2
eduardo sancho,1,sancho,2
eduardo velar de la rosa,1,eduardo,2
eduardo velar de la rosa,1,rosa,2
eduardo velar de la rosa,1,velar,2
education minister yitzhaq navon,0,yitzhaq navon,1
efrain gonzalez,1,efrain,2
efrain gonzalez,1,gonzalez,2
el espectador director guillermo cano,0,guillermo cano,1
el espectador general manager alfonso cano,0,alfonso cano,1
el espectador president luis gabriel cano,0,luis gabriel cano,1
el mexicano,1,mexicano,2
el mono avello,1,avello,2
el mono avello,1,mono,2
el negro,1,negro,2
elena beatriz zuniga,1,beatriz,2
elena beatriz zuniga,1,elena,2
elena beatriz zuniga,1,zuniga,2
elena fuente,1,elena,2
elena fuente,1,fuente,2
elena fuentes,1,elena,2
elena fuentes,1,fuentes,2
elena montoya,1,elena,2
elena montoya,1,montoya,2
eliana henriquez,1,eliana,2
eliana henriquez,1,henriquez,2
elizabeth velazquez,1,elizabeth,2
elizabeth velazquez,1,velazquez,2
embassy spokesman peter samson,0,peter samson,1
emiliano isaza enao,1,emiliano,2
emiliano isaza enao,1,enao,2
emiliano isaza enao,1,isaza,2
emiliano j. pacheco,1,emiliano,2
emiliano j. pacheco,1,j.,2
emiliano j. pacheco,1,pacheco,2
emilio ponce,1,emilio,2
emilio ponce,1,ponce,2
emilio reynoso aguilar,1,aguilar,2
emilio reynoso aguilar,1,emilio,2
emilio reynoso aguilar,1,reynoso,2
engineer paulo cesar paim de oliveira,0,paulo cesar paim de oliveira,1
enrique alvarez del castillo,1,alvarez,2
enrique alvarez del castillo,1,castillo,2
enrique alvarez del castillo,1,enrique,2
enrique baron crespo,1,baron,2
enrique baron crespo,1,crespo,2
enrique baron crespo,1,enrique,2
enrique bernales ballesteros,1,ballesteros,2
enrique bernales ballesteros,1,bernales,2
enrique bernales ballesteros,1,enrique,2
enrique bernalez,1,bernalez,2
enrique bernalez,1,enrique,2
enrique correa,1,correa,2
enrique correa,1,enrique,2
enrique franco,1,enrique,2
enrique franco,1,franco,2
enrique krauss,1,enrique,2
enrique krauss,1,krauss,2
enrique lopez albujar,1,albujar,2
enrique lopez albujar,1,enrique,2
enrique lopez albujar,1,lopez,2
enrique lopez albujar trint,1,albujar,2
enrique lopez albujar trint,1,enrique,2
enrique lopez albujar trint,1,lopez,2
enrique lopez albujar trint,1,trint,2
enrique morel,1,enrique,2
enrique morel,1,morel,2
enrique ormazabal ormazabal,0,enrique ormazabal ormazabal,1
enrique ormazabal ormazabal,1,enrique,2
enrique ormazabal ormazabal,1,ormazabal,2
enrique ruiz,1,enrique,2
enrique ruiz,1,ruiz,2
enrique silva cimma,1,cimma,2
enrique silva cimma,1,enrique,2
enrique silva cimma,1,silva,2
environmental protection minister roni milo,0,roni milo,1
epigmenio ibarra,1,epigmenio,2
epigmenio ibarra,1,ibarra,2
eric felix pacherri,1,eric,2
eric felix pacherri,1,felix,2
eric felix pacherri,1,pacherri,2
eric sanchez,1,eric,2
eric sanchez,1,sanchez,2
erick o'connor,1,erick,2
erick o'connor,1,o'connor,2
ernesto pisano,1,ernesto,2
ernesto pisano,1,pisano,2
ernesto samper,1,ernesto,2
ernesto samper,1,samper,2
escalon drive,1,drive,2
escalon drive,1,escalon,2
eskenasi nisim,1,eskenasi,2
eskenasi nisim,1,nisim,2
espinoza villegas,1,espinoza,2
espinoza villegas,1,villegas,2
estrada velez,1,estrada,2
estrada velez,1,velez,2
eugenio castro,1,castro,2
eugenio castro,1,eugenio,2
eugenio vides casanova,1,casanova,2
eugenio vides casanova,1,eugenio,2
eugenio vides casanova,1,vides,2
eulogio flores,1,eulogio,2
eulogio flores,1,flores,2
evans lockwood,1,evans,2
evans lockwood,1,lockwood,2
extreme right-wing deputy roberto d'aubuisson,0,roberto d'aubuisson,1
eyewitness lucia barrera de cerna,0,lucia barrera de cerna,1
fabio echeverri correa,1,correa,2
fabio echeverri correa,1,echeverri,2
fabio echeverri correa,1,fabio,2
fabio ochoa,1,fabio,2
fabio ochoa,1,ochoa,2
fabio roa,1,fabio,2
fabio roa,1,roa,2
facundo guardado,1,facundo,2
facundo guardado,1,guardado,2
farabundo marti national liberation front (fmln) commander roberto roca,0,roberto roca,1
farabundo marti national liberation front commander eduardo sancho,0,eduardo sancho,1
father alfredo jackson,0,alfredo,1
father alfredo jackson,0,jackson,1
father amando lopez,0,amando lopez,1
father aristide,0,aristide,1
father chemita,0,chemita,1
father coro,0,coro,1
father ellacuria,0,ellacuria,1
father estrada,0,estrada,1
father ignacio ellacuria,0,ignacio ellacuria,1
father jean bertrand aristide,0,jean bertrand aristide,1
father jose ignacio ellacuria,0,jose ignacio ellacuria,1
father jose maria tojeira s.j,0,jose maria tojeira,1
"father of jorge luis, fabio, and david ochoa vasquez",0,david ochoa vasquez,1
"father of jorge luis, fabio, and david ochoa vasquez",0,fabio,1
"father of jorge luis, fabio, and david ochoa vasquez",0,jorge luis,1
febe elizabeth velasquez,1,elizabeth,2
febe elizabeth velasquez,1,febe,2
febe elizabeth velasquez,1,velasquez,2
febe elizabeth velazquez,1,elizabeth,2
febe elizabeth velazquez,1,febe,2
febe elizabeth velazquez,1,velazquez,2
fede elizabeth velasquez,1,elizabeth,2
fede elizabeth velasquez,1,fede,2
fede elizabeth velasquez,1,velasquez,2
federal party deputy ruth monjardin,0,ruth monjardin,1
federico estrada velez,1,estrada,2
federico estrada velez,1,federico,2
federico estrada velez,1,velez,2
federico malespina,1,federico,2
federico malespina,1,malespina,2
federico zamora,1,federico,2
federico zamora,1,zamora,2
felipe carvajal,1,carvajal,2
felipe carvajal,1,felipe,2
felipe gonzalez,1,felipe,2
felipe gonzalez,1,gonzalez,2
felix ulloa,1,felix,2
felix ulloa,1,ulloa,2
fenastras leader febe elizabeth velasquez,0,febe elizabeth velasquez,1
fenastras leader fede elizabeth velasquez,0,fede elizabeth velasquez,1
ferman cienfuegos,1,cienfuegos,2
ferman cienfuegos,1,ferman,2
fernando collor de mello,1,collor,2
fernando collor de mello,1,fernando,2
fernando collor de mello,1,mello,2
fernando iraconi,1,fernando,2
fernando iraconi,1,iraconi,2
fernando reyes roca,1,fernando,2
fernando reyes roca,1,reyes,2
fernando reyes roca,1,roca,2
fernando rojas baldeon,1,baldeon,2
fernando rojas baldeon,1,fernando,2
fernando rojas baldeon,1,rojas,2
fernando solana,1,fernando,2
fernando solana,1,solana,2
fernando torres silva,1,fernando,2
fernando torres silva,1,silva,2
fernando torres silva,1,torres,2
fidel castro,1,castro,2
fidel castro,1,fidel,2
fidel chavez mena,1,chavez,2
fidel chavez mena,1,fidel,2
fidel chavez mena,1,mena,2
fidel sanchez sanchez,1,fidel,2
fidel sanchez sanchez,1,sanchez,2
filmo lopez uzcategui,1,filmo,2
filmo lopez uzcategui,1,lopez,2
filmo lopez uzcategui,1,uzcategui,2
finance minister cesar vasquez bazan,0,cesar vasquez bazan,1
fire department spokesman haroldo juarez,0,haroldo juarez,1
first secretary luis de anda,0,luis de anda,1
first sergeant willian escalante caceres,0,willian escalante caceres,1
fmln commander ana guadalupe martinez,0,ana guadalupe martinez,1
fmln commander gonzalez,0,gonzalez,1
fmln commander handal,0,handal,1
fmln commander joaquin villalobos,0,joaquin villalobos,1
fmln commander jorge melendez,0,jorge melendez,1
fmln commander sancho,0,sancho,1
fmln spokesman miguel saenz,0,miguel saenz,1
forces spokesman colonel luis arturo isaacs,0,luis arturo isaacs,1
foreign affairs minister cordovez,0,cordovez,1
foreign minister alfonso cabrera,0,alfonso cabrera,1
foreign minister carlos lopez contreras,0,carlos lopez contreras,1
foreign minister diego cordovez,0,diego cordovez,1
foreign minister domingo cavallo,0,domingo cavallo,1
foreign minister dr. julio e. linares,0,julio e. linares,1
foreign minister enrique silva cimma,0,enrique silva cimma,1
foreign minister francisco fernandez ordonez,0,francisco fernandez ordonez,1
foreign minister guillermo larco cox,0,guillermo larco cox,1
foreign minister hernan felipe errazuriz,0,hernan felipe errazuriz,1
foreign minister julio linares,0,julio linares,1
foreign minister julio londono,0,julio londono,1
foreign minister linares,0,linares,1
foreign minister madrigal nieto,0,madrigal nieto,1
foreign minister mario palencia,0,mario palencia,1
foreign minister pacas,0,pacas,1
foreign minister paulo tarso flecha de lima,0,paulo tarso flecha de lima,1
foreign minister taro nakayama,0,taro nakayama,1
foreign office minister timothy sainsbury,0,timothy sainsbury,1
foreign relations minister carlos lopez contreras,0,carlos lopez contreras,1
former air force commander leigh,0,leigh,1
former ambassador castro arenas,0,castro arenas,1
former argentine president raul alfonsin,0,raul alfonsin,1
former army colonel sigifredo ochoa perez,0,sigifredo ochoa perez,1
former attorney general carlos jimenez gomez,0,carlos jimenez gomez,1
former cabinet minister edgar gutierrez castro,0,edgar gutierrez castro,1
former captain alvaro sanabria,0,alvaro sanabria,1
former captain mauricio mena sandoval,0,mauricio mena sandoval,1
former chilean foreign minister orlando letelier,0,orlando letelier,1
former christian democratic deputy minister gerardo lechevalier,0,gerardo lechevalier,1
former colombian justice minister monica de greiff,0,monica de greiff,1
former colombian president belisario betancur,0,belisario betancur,1
former colonel justine,0,justine,1
former colonel luis arce gomez,0,luis arce gomez,1
former colonel marcos justines,0,marcos justines,1
former conservative minister joaquin vallejo,0,joaquin vallejo,1
former defense minister enrique lopez albujar,0,enrique lopez albujar,1
former defense minister enrique lopez albujar trint,0,enrique lopez albujar trint,1
former defense minister eugenio,0,eugenio,1
former ecuadoran president leon febres cordero,0,leon febres cordero,1
former education minister grover pango,0,grover pango,1
former general manuel antonio noriega,0,manuel antonio noriega,1
former general noriega,0,noriega,1
former government minister cesar gaviria trujillo,0,cesar gaviria trujillo,1
former justice minister monica de greiff,0,monica de greiff,1
former labor minister cesar martans,0,cesar martans,1
former liberal colombian president alfonso lopez michelsen,0,alfonso lopez michelsen,1
former lt col jair klein,0,jair klein,1
former major roberto d'aubuisson,0,roberto d'aubuisson,1
former mayor gonzalo,0,gonzalo,1
former mayor gonzalo gonzalez,0,gonzalo gonzalez,1
former medellin mayor pablo pelaez gonzalez,0,pablo pelaez gonzalez,1
former minister carlos obando velasco,0,carlos obando velasco,1
former minister joaquin vallejo,0,joaquin vallejo,1
former minister joaquin vallejo arbalaez,0,joaquin vallejo arbalaez,1
former president duarte,0,duarte,1
former president jaime roldos aguilera,0,jaime roldos aguilera,1
former president jose napoleon duarte,0,jose napoleon duarte,1
former president julio cesar turbay ayala,0,julio cesar turbay ayala,1
former president leon febres cordero,0,leon febres cordero,1
former president leon febres-cordero,0,leon febres-cordero,1
former president misael patrana borrero,0,misael patrana borrero,1
former president raul alfonsin,0,raul alfonsin,1
former presidential candidate alvaro gomez,0,alvaro gomez,1
former presidential candidate lionel sisniega,0,lionel sisniega,1
former prime minister luis alva castro,0,luis alva castro,1
former public works minister rene bultron,0,rene bultron,1
former social conservative president misael pastrana,0,misael pastrana,1
former supreme court president francisco guerrero,0,francisco guerrero,1
former supreme court president francisco jose guerrero,0,francisco jose guerrero,1
former u.s. ambassador thomas pickering,0,thomas pickering,1
former u.s. president abraham lincoln,0,abraham lincoln,1
founder abimael guzman,0,abimael guzman,1
fpmr international spokesman marcelo reyes,0,marcelo reyes,1
fpmr spokesman victor diaz caro,0,victor diaz caro,1
fpmr spokesperson mariela vargas,0,mariela vargas,1
franci elena sarmiento,0,franci elena sarmiento,1
franci elena sarmiento,1,elena,2
franci elena sarmiento,1,franci,2
franci elena sarmiento,1,sarmiento,2
francisca colomer misquita,0,francisca colomer misquita,1
francisca colomer misquita,1,colomer,2
francisca colomer misquita,1,francisca,2
francisca colomer misquita,1,misquita,2
francisco alaman,1,alaman,2
francisco alaman,1,francisco,2
francisco arturo lopez,1,arturo,2
francisco arturo lopez,1,francisco,2
francisco arturo lopez,1,lopez,2
francisco cadiz,1,cadiz,2
francisco cadiz,1,francisco,2
francisco cardenas,1,cardenas,2
francisco cardenas,1,francisco,2
francisco elena fuentes,1,elena,2
francisco elena fuentes,1,francisco,2
francisco elena fuentes,1,fuentes,2
francisco escobar,1,escobar,2
francisco escobar,1,francisco,2
francisco estrada,1,estrada,2
francisco estrada,1,francisco,2
francisco fernandez ordonez,1,fernandez,2
francisco fernandez ordonez,1,francisco,2
francisco fernandez ordonez,1,ordonez,2
francisco guerrero,1,francisco,2
francisco guerrero,1,guerrero,2
francisco jose guerrero,1,francisco,2
francisco jose guerrero,1,guerrero,2
francisco jose guerrero,1,jose,2
francisco jovel,1,francisco,2
francisco jovel,1,jovel,2
francisco merino,1,francisco,2
francisco merino,1,merino,2
francisco merino lopez,1,francisco,2
francisco merino lopez,1,lopez,2
francisco merino lopez,1,merino,2
francisco morazan,1,francisco,2
francisco morazan,1,morazan,2
francois mitterrand,1,francois,2
francois mitterrand,1,mitterrand,2
franklin quintero,1,franklin,2
franklin quintero,1,quintero,2
franklyn quintero,1,franklyn,2
franklyn quintero,1,quintero,2
fredy arevalo,1,arevalo,2
fredy arevalo,1,fredy,2
french interior minister pierre joxe,0,pierre joxe,1
french president francois mitterrand,0,francois mitterrand,1
frenchman bernard stroiazzo,0,bernard stroiazzo,1
frenchman roberto lisandy,0,roberto lisandy,1
fusep staff commander colonel cristobal simon romerro,0,cristobal simon romerro,1
