n1,n2,score
dr. hector oqueli,secretary general hector oqueli colindres,0.25
dr. hector oqueli,social democratic leader hector oqueli,1.00
dr. hector oqueli,social democratic leader hector oqueli colindres,0.25
dr. hector oqueli,the salvadoran political leader hector oqueli,1.00
dr. ian alexander,mr ian alexander,1.00
dr. jaramillo,bishop jaramillo,1.00
dr. jaramillo,dr jaramillo,1.00
dr. oqueli,dr oqueli,1.00
dr. rafael pardo,dr. rafael pardo rueda,0.13
dr. rafael pardo,presidential adviser rafael pardo,1.00
dr. rafael pardo,presidential adviser rafael pardo rueda,0.13
dr. rafael pardo rueda,dr. rafael pardo,0.09
dr. rafael pardo rueda,presidential adviser rafael pardo,0.09
dr. rafael pardo rueda,presidential adviser rafael pardo rueda,1.00
dr. virgilio barco,colombia's president virgilio barco,1.00
dr. virgilio barco,colombian leader virgilio barco,1.00
dr. virgilio barco,colombian president virgilio barco,1.00
dr. virgilio barco,colombian president virgilio barco vargas,0.33
dr. virgilio barco,liberal president virgilio barco,1.00
dr. virgilio barco,president virgilio barco,1.00
dr. virgilio barco,president virgilio barco vargas,0.33
drug baron rodriguez gacha,"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.19
drug baron rodriguez gacha,colombian drug trafficker rodriguez gacha,1.00
drug baron rodriguez gacha,drug kingping gonzalo rodriguez gacha (alias the mexican),0.19
drug baron rodriguez gacha,"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.19
drug baron rodriguez gacha,"gonzalo rodriguez gacha alias ""the mexican,""",0.19
drug baron rodriguez gacha,"gonzalo rodriguez gacha, a.k.a the mexican",0.19
drug baron rodriguez gacha,"gonzalo rodriguez gacha, alias ""el mejicano,""",0.19
drug baron rodriguez gacha,"gonzalo rodriguez gacha, alias the mexican",0.19
drug baron rodriguez gacha,"gonzalo rodriguez gacha, also known as ""el mexicano,""",0.19
drug baron rodriguez gacha,"rodriguez gacha, alias ""the mexican,""",1.00
drug baron rodriguez gacha,"rodriguez gacha, alias the mexican",1.00
drug kingping gonzalo rodriguez gacha (alias the mexican),"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.45
drug kingping gonzalo rodriguez gacha (alias the mexican),colombian drug trafficker rodriguez gacha,0.08
drug kingping gonzalo rodriguez gacha (alias the mexican),drug baron rodriguez gacha,0.08
drug kingping gonzalo rodriguez gacha (alias the mexican),"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.66
drug kingping gonzalo rodriguez gacha (alias the mexican),"gonzalo rodriguez gacha alias ""the mexican,""",1.00
drug kingping gonzalo rodriguez gacha (alias the mexican),"gonzalo rodriguez gacha, a.k.a the mexican",1.00
drug kingping gonzalo rodriguez gacha (alias the mexican),"gonzalo rodriguez gacha, alias ""el mejicano,""",0.45
drug kingping gonzalo rodriguez gacha (alias the mexican),"gonzalo rodriguez gacha, alias the mexican",1.00
drug kingping gonzalo rodriguez gacha (alias the mexican),"gonzalo rodriguez gacha, also known as ""el mexicano,""",0.45
drug kingping gonzalo rodriguez gacha (alias the mexican),"rodriguez gacha, alias ""the mexican,""",0.63
drug kingping gonzalo rodriguez gacha (alias the mexican),"rodriguez gacha, alias the mexican",0.63
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.17
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",colombian drug trafficker rodriguez gacha,0.12
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",drug baron rodriguez gacha,0.12
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",drug kingping gonzalo rodriguez gacha (alias the mexican),1.00
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","gonzalo rodriguez gacha alias ""the mexican,""",1.00
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","gonzalo rodriguez gacha, a.k.a the mexican",1.00
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","gonzalo rodriguez gacha, alias ""el mejicano,""",0.17
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","gonzalo rodriguez gacha, alias the mexican",1.00
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","gonzalo rodriguez gacha, also known as ""el mexicano,""",0.17
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","rodriguez gacha, alias ""the mexican,""",0.95
"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""","rodriguez gacha, alias the mexican",0.95
drug trafficker pablo escobar gaviria,medellin cartel boss pablo escobar gaviria,1.00
ecopetrol president andres restrepo londono,dr andres restrepo londono,1.00
ecopetrol president andres restrepo londono,president andres restrepo,0.16
ecuadoran government minister andres vallejo,government minister andres vallejo,1.00
ecuadoran government minister andres vallejo,interior minister andres vallejo,1.00
ecuadoran government minister andres vallejo,justice minister andres vallejo,1.00
education minister yitzhaq navon,deputy prime minister yitzhaq navon,1.00
el espectador director guillermo cano,dr guillermo cano,1.00
el espectador director guillermo cano,journalist guillermo cano,1.00
el espectador director guillermo cano,newsman guillermo cano,1.00
el espectador director guillermo cano,newspaper director guillermo cano,1.00
extreme right-wing deputy roberto d'aubuisson,former major roberto d'aubuisson,1.00
extreme right-wing deputy roberto d'aubuisson,maj roberto d'aubuisson,1.00
extreme right-wing deputy roberto d'aubuisson,major roberto d'aubuission,0.02
extreme right-wing deputy roberto d'aubuisson,major roberto d'aubuisson,1.00
extreme right-wing deputy roberto d'aubuisson,major roberto d'aubuisson arrieta,0.25
extreme right-wing deputy roberto d'aubuisson,rightist leader roberto d'aubuisson,1.00
extreme right-wing deputy roberto d'aubuisson,ultra-rightwing deputy roberto d'aubuisson,1.00
eyewitness lucia barrera de cerna,witness lucia cerna,1.00
farabundo marti national liberation front (fmln) commander roberto roca,commander roberto roca,1.00
farabundo marti national liberation front (fmln) commander roberto roca,italian citizen roberto victor carlini aroca,0.02
farabundo marti national liberation front commander eduardo sancho,commander eduardo sancho,1.00
farabundo marti national liberation front commander eduardo sancho,"national liberation front commander eduardo sancho, alias ferman cienfuegos",1.00
father alfredo jackson,president alfredo,1.00
father amando lopez,dr amando lopez,1.00
father ignacio ellacuria,central america university rector ignacio ellacuria,1.00
father ignacio ellacuria,central american university rector ignacio ellacuria,1.00
father ignacio ellacuria,dr ignacio ellacuria,1.00
father ignacio ellacuria,father jose ignacio ellacuria,0.31
father ignacio ellacuria,priest ignacio ellacuria,1.00
father ignacio ellacuria,uca rector ignacio ellacuria,1.00
father jose ignacio ellacuria,central america university rector ignacio ellacuria,1.00
father jose ignacio ellacuria,central american university rector ignacio ellacuria,1.00
father jose ignacio ellacuria,dr ignacio ellacuria,1.00
father jose ignacio ellacuria,father ignacio ellacuria,1.00
father jose ignacio ellacuria,priest ignacio ellacuria,1.00
father jose ignacio ellacuria,uca rector ignacio ellacuria,1.00
father jose maria tojeira s.j,soldier jose mario chicas diaz,0.01
father jose maria tojeira s.j,spanish citizen jose maria tojeira,1.00
fenastras leader febe elizabeth velasquez,fenastras leader fede elizabeth velasquez,0.16
fenastras leader febe elizabeth velasquez,labor leader febe elizabeth velasquez,1.00
fenastras leader febe elizabeth velasquez,leader febe elizabeth velasquez,1.00
fenastras leader febe elizabeth velasquez,leftist leader fede elizabeth velasquez,0.16
fenastras leader febe elizabeth velasquez,opposition labor leader febe elizabeth velazquez,0.29
fenastras leader febe elizabeth velasquez,opposition leader elizabeth velazquez,0.10
fenastras leader febe elizabeth velasquez,the well-known union leader elizabeth velazquez,0.10
fenastras leader fede elizabeth velasquez,fenastras leader febe elizabeth velasquez,0.14
fenastras leader fede elizabeth velasquez,labor leader febe elizabeth velasquez,0.14
fenastras leader fede elizabeth velasquez,leader febe elizabeth velasquez,0.14
fenastras leader fede elizabeth velasquez,leftist leader fede elizabeth velasquez,1.00
fenastras leader fede elizabeth velasquez,opposition labor leader febe elizabeth velazquez,0.08
fenastras leader fede elizabeth velasquez,opposition leader elizabeth velazquez,0.08
fenastras leader fede elizabeth velasquez,the well-known union leader elizabeth velazquez,0.08
fmln commander gonzalez,commander gonzalez,1.00
fmln commander gonzalez,german gonzalez ramirez,1.00
fmln commander gonzalez,judge gonzalez,1.00
fmln commander gonzalez,prime minister gonzalez,1.00
fmln commander joaquin villalobos,commander joaquin villalobos,1.00
fmln commander jorge melendez,commander jorge melendez,1.00
fmln commander sancho,comrade sancho,1.00
fmln spokesman miguel saenz,commander miguel saenz of the farabundo marti national liberation front (fmln),1.00
forces spokesman colonel luis arturo isaacs,army spokesman colonel luis arturo isaacs,1.00
foreign affairs minister cordovez,madame cordovez,1.00
foreign affairs minister cordovez,minister cordovez,1.00
foreign minister carlos lopez contreras,foreign relations minister carlos lopez contreras,1.00
foreign minister carlos lopez contreras,honduran foreign minister carlos lopez contreras,1.00
foreign minister carlos lopez contreras,salvadoran red cross spokesman carlos lopez,0.03
foreign minister domingo cavallo,argentine foreign minister domingo cavallo,1.00
foreign minister dr. julio e. linares,foreign minister julio linares,1.00
foreign minister dr. julio e. linares,panamanian foreign minister julio linares,1.00
foreign minister francisco fernandez ordonez,spanish foreign minister francisco fernandez ordonez,1.00
foreign minister guillermo larco cox,mr larco cox,0.37
foreign minister guillermo larco cox,peruvian foreign minister guillermo larco cox,1.00
foreign minister julio linares,foreign minister dr. julio e. linares,0.20
foreign minister julio linares,panamanian foreign minister julio linares,1.00
foreign minister julio londono,colombian foreign minister julio londono paredes,1.00
foreign minister madrigal nieto,costa rican foreign minister rodrigo madrigal nieto,1.00
foreign minister mario palencia,guatemalan foreign minister mario palencia,1.00
foreign relations minister carlos lopez contreras,foreign minister carlos lopez contreras,1.00
foreign relations minister carlos lopez contreras,honduran foreign minister carlos lopez contreras,1.00
foreign relations minister carlos lopez contreras,salvadoran red cross spokesman carlos lopez,0.03
former air force commander leigh,gen. leigh,1.00
former air force commander leigh,general leigh,1.00
former ambassador castro arenas,mr mario castro arenas,1.00
former ambassador castro arenas,panama mario castro arenas,1.00
former argentine president raul alfonsin,former president raul alfonsin,1.00
former argentine president raul alfonsin,president raul alfonsin,1.00
former army colonel sigifredo ochoa perez,col. ochoa perez,0.10
former army colonel sigifredo ochoa perez,col. sigifredo ochoa perez,1.00
former army colonel sigifredo ochoa perez,colonel ochoa perez,0.10
former army colonel sigifredo ochoa perez,colonel sigifredo ochoa perez,1.00
former army colonel sigifredo ochoa perez,nationalist republican alliance (arena) leader sigifredo ochoa perez,1.00
former army colonel sigifredo ochoa perez,salvadoran colonel sigifredo ochoa perez,1.00
former captain mauricio mena sandoval,communications minister mauricio sandoval,0.81
former captain mauricio mena sandoval,salvadoran communications minister mauricio sandoval,0.81
former colombian justice minister monica de greiff,colombian justice minister monica de greiff,1.00
former colombian justice minister monica de greiff,former justice minister monica de greiff,1.00
former colombian justice minister monica de greiff,justice minister monica de greiff,1.00
former colombian president belisario betancur,social conservative president belisario betancur,1.00
former colonel luis arce gomez,colonel luis arce gomez,1.00
former conservative minister joaquin vallejo,former minister joaquin vallejo,1.00
former conservative minister joaquin vallejo,former minister joaquin vallejo arbalaez,0.26
former defense minister enrique lopez albujar,former defense minister enrique lopez albujar trint,0.27
former defense minister enrique lopez albujar,general enrique lopez albujar,1.00
former defense minister enrique lopez albujar trint,former defense minister enrique lopez albujar,1.00
former defense minister enrique lopez albujar trint,general enrique lopez albujar,1.00
former ecuadoran president leon febres cordero,former president leon febres cordero,1.00
former general manuel antonio noriega,general manual antonio noriega,0.18
former general manuel antonio noriega,general manuel noriega,0.18
former general manuel antonio noriega,panamanian general manuel antonio noriega,1.00
former general noriega,dictator noriega,1.00
former general noriega,gen noriega,1.00
former general noriega,general noriega,1.00
former government minister cesar gaviria trujillo,government minister cesar gaviria trujillo,1.00
former government minister cesar gaviria trujillo,liberal cesar gaviria trujillo,1.00
former government minister cesar gaviria trujillo,liberal party candidate cesar gaviria trujillo,1.00
former justice minister monica de greiff,colombian justice minister monica de greiff,1.00
former justice minister monica de greiff,former colombian justice minister monica de greiff,1.00
former justice minister monica de greiff,justice minister monica de greiff,1.00
former lt col jair klein,colonel yair klein,1.00
former major roberto d'aubuisson,extreme right-wing deputy roberto d'aubuisson,1.00
former major roberto d'aubuisson,maj roberto d'aubuisson,1.00
former major roberto d'aubuisson,major roberto d'aubuission,0.02
former major roberto d'aubuisson,major roberto d'aubuisson,1.00
former major roberto d'aubuisson,major roberto d'aubuisson arrieta,0.25
former major roberto d'aubuisson,rightist leader roberto d'aubuisson,1.00
former major roberto d'aubuisson,ultra-rightwing deputy roberto d'aubuisson,1.00
former mayor gonzalo,president gonzalo,1.00
former mayor gonzalo gonzalez,major gonzalo gonzalez,1.00
former mayor gonzalo gonzalez,major gonzalo gonzalez rivera,0.13
former minister joaquin vallejo,former conservative minister joaquin vallejo,1.00
former minister joaquin vallejo,former minister joaquin vallejo arbalaez,0.26
former minister joaquin vallejo arbalaez,former conservative minister joaquin vallejo,1.00
former minister joaquin vallejo arbalaez,former minister joaquin vallejo,1.00
former president duarte,mr. duarte,1.00
former president duarte,president duarte,1.00
former president jose napoleon duarte,christian democrat jose napoleon duarte,1.00
former president jose napoleon duarte,christian democratic president jose napoleon duarte,1.00
former president jose napoleon duarte,president jose napoleon duarte,1.00
former president jose napoleon duarte,salvadoran president jose napoleon duarte,1.00
former president leon febres cordero,former ecuadoran president leon febres cordero,1.00
former president misael patrana borrero,former social conservative president misael pastrana,1.00
former president raul alfonsin,former argentine president raul alfonsin,1.00
former president raul alfonsin,president raul alfonsin,1.00
former presidential candidate alvaro gomez,conservative party leader alvaro gomez hurtado,0.12
former presidential candidate alvaro gomez,dr. alvaro gomez,1.00
former presidential candidate lionel sisniega,captain lionel sisniega cordero,1.00
former prime minister luis alva castro,new apra leader luis alva castro,1.00
former prime minister luis alva castro,secretary general luiz alva castro,0.25
former social conservative president misael pastrana,former president misael patrana borrero,1.00
former supreme court president francisco guerrero,dr francisco jose guerrero,1.00
former supreme court president francisco guerrero,dr. francisco jose guerrero,1.00
former supreme court president francisco guerrero,former supreme court president francisco jose guerrero,1.00
former supreme court president francisco guerrero,president of the supreme court of justice francisco jose guerrero,1.00
former supreme court president francisco guerrero,supreme court chief justice francisco jose guerrero,1.00
former supreme court president francisco jose guerrero,dr francisco jose guerrero,1.00
former supreme court president francisco jose guerrero,dr. francisco jose guerrero,1.00
former supreme court president francisco jose guerrero,former supreme court president francisco guerrero,0.14
former supreme court president francisco jose guerrero,president of the supreme court of justice francisco jose guerrero,1.00
former supreme court president francisco jose guerrero,supreme court chief justice francisco jose guerrero,1.00
founder abimael guzman,anthropologist abimael guzman,1.00
french president francois mitterrand,president francois mitterrand,1.00
futh president hector hernandez,colonel hector heriberto hernandez,1.00
futh president hector hernandez,msgr hector santos hernandez,1.00
gen botero,gen. botero,1.00
gen bustillo,gen. bustillo,1.00
gen casadiego,general casadiego,1.00
gen casadiego torrado,general carlos arturo casadiego torrado,1.00
gen gomez,attorney general gomez,1.00
gen gomez padilla,general gomez padilla,1.00
gen gomez padilla,general miguel antonio gomez padilla,0.15
gen gomez padilla,general miguel gomez padilla,0.15
gen gomez padilla,national police director miguel antonio gomez padilla,0.15
gen gustavo leigh,gen. gustavo leigh,1.00
gen gustavo leigh,general gustavo leigh guzman,0.29
gen hector gramejo,defense minister gen. hector alejandro gramajo,0.02
gen hector gramejo,general hector alejandro gramajo,0.02
gen hector gramejo,general hector gramajo,0.02
gen hector gramejo,general hector gramajo morales,0.02
gen hector gramejo,general hector gramejo,1.00
gen larios,gen. larios,1.00
gen larios,general larios,1.00
gen maza marquez,das [administrative department of security] director miguel maza marquez,0.16
gen maza marquez,director general miguel maza marquez,0.16
gen maza marquez,general director general alfredo maza marquez,0.16
gen maza marquez,general maza marquez,1.00
gen maza marquez,general miguel alfredo maza marquez,0.16
gen maza marquez,general miguel maza marquez,0.16
gen noriega,dictator noriega,1.00
gen noriega,former general noriega,1.00
gen noriega,general noriega,1.00
gen padilla,general padilla,1.00
gen rafael villamariona,general rafael antonio villamariona,0.25
gen rafael villamariona,general rafael villamariona,1.00
gen romero,archbishop romero,1.00
gen romero,monsignor romero,1.00
gen romero,msgr romero,1.00
gen romero,msgr romero pay,1.00
gen vaca perilla,general alfonso vaca perilla,1.00
gen vargas,col vargas,1.00
gen vargas,colonel vargas,1.00
gen vargas,minister vargas,1.00
gen vides casanova,general carlos eugenio vides casanova,1.00
gen vides casanova,general carlos vides casanova,1.00
gen vides casanova,general eugenio vides casanova,1.00
gen. botero,gen botero,1.00
gen. bustillo,gen bustillo,1.00
gen. gustavo leigh,gen gustavo leigh,1.00
gen. gustavo leigh,general gustavo leigh guzman,0.29
gen. larios,gen larios,1.00
gen. larios,general larios,1.00
gen. leigh,former air force commander leigh,1.00
gen. leigh,general leigh,1.00
gen. pinochet,general pinochet,1.00
gen. pinochet,president pinochet,1.00
gen. villamariona,general villamariona,1.00
general alejandro gramajo,defense minister gen. hector alejandro gramajo,1.00
general alejandro gramajo,general hector alejandro gramajo,1.00
general alfonso vaca perilla,gen vaca perilla,1.00
general augusto pinochet,chilean president augusto pinochet,1.00
general augusto pinochet,mr augusto pinochet ugarte,0.31
general augusto pinochet,president augusto pinochet,1.00
general augusto rodrigues arango of the southern unified command,general rodrigues arango,1.00
general carlos arturo casadiego,general carlos arturo casadiego torrado,1.00
general carlos arturo casadiego,police chief gen carlos casadiego,0.73
general carlos arturo casadiego torrado,gen casadiego torrado,1.00
general carlos arturo casadiego torrado,general carlos arturo casadiego,0.49
general carlos arturo casadiego torrado,police chief gen carlos casadiego,0.36
general carlos eugenio vides casanova,gen vides casanova,0.52
general carlos eugenio vides casanova,general carlos vides casanova,0.54
general carlos eugenio vides casanova,general eugenio vides casanova,1.00
general carlos vides casanova,gen vides casanova,0.96
general carlos vides casanova,general carlos eugenio vides casanova,1.00
general casadiego,gen casadiego,1.00
general commander carlos pizarro leongomez,leader carlos pizarro leongomez,1.00
general commander carlos pizarro leongomez,m-19 [19 april movement] president carlos pizarro leongomez,1.00
general commander carlos pizarro leongomez,m-19 commander carlos pizarro,0.11
general commander carlos pizarro leongomez,m-19 commander carlos pizarro leongomez,1.00
general commander carlos pizarro leongomez,m-19 leader carlos pizarro,0.11
general commander carlos pizarro leongomez,m-19 leader pizarro leongomez,0.31
general commander carlos pizarro leongomez,mr. carlos pizarro leongomez,1.00
general director colonel maximiliano leiva,immigration director colonel maximiliano leiva,1.00
general director general alfredo maza marquez,gen maza marquez,0.83
general director general alfredo maza marquez,general maza marquez,0.83
general director general alfredo maza marquez,general miguel alfredo maza marquez,1.00
general enrique lopez albujar,former defense minister enrique lopez albujar,1.00
general enrique lopez albujar,former defense minister enrique lopez albujar trint,0.27
general enrique ruiz,retired general enrique ruiz,1.00
general eugenio vides casanova,gen vides casanova,0.52
general eugenio vides casanova,general carlos eugenio vides casanova,1.00
general filmo lopez uzcategui,venezuelan defense minister general filmo lopez uzcategui,1.00
general gerardo barrios,captain gerardo barrios,1.00
general gerardo barrios,the captain gerardo barrios,1.00
general gomez padilla,gen gomez padilla,1.00
general gomez padilla,general miguel antonio gomez padilla,0.15
general gomez padilla,general miguel gomez padilla,0.15
general gomez padilla,national police director miguel antonio gomez padilla,0.15
general gramajo morales,general hector gramajo morales,1.00
general guerrero paz,general manuel jaime guerrero paz,1.00
general gustavo alvarez,general gustavo alvarez martinez,1.00
general gustavo alvarez,retired general gustavo alvarez martinez,1.00
general gustavo alvarez martinez,general gustavo alvarez,0.17
general gustavo alvarez martinez,retired general gustavo alvarez martinez,1.00
general gustavo leigh guzman,gen gustavo leigh,1.00
general gustavo leigh guzman,gen. gustavo leigh,1.00
general hector alejandro gramajo,defense minister gen. hector alejandro gramajo,1.00
general hector alejandro gramajo,gen hector gramejo,0.03
general hector alejandro gramajo,general alejandro gramajo,0.24
general hector alejandro gramajo,general hector gramajo,0.12
general hector alejandro gramajo,general hector gramejo,0.03
general hector gramajo,defense minister gen. hector alejandro gramajo,1.00
general hector gramajo,gen hector gramejo,0.24
general hector gramajo,general hector alejandro gramajo,1.00
general hector gramajo,general hector gramajo morales,1.00
general hector gramajo,general hector gramejo,0.24
general hector gramajo morales,gen hector gramejo,0.20
general hector gramajo morales,general gramajo morales,1.00
general hector gramajo morales,general hector gramajo,0.84
general hector gramajo morales,general hector gramejo,0.20
general hector gramejo,defense minister gen. hector alejandro gramajo,0.02
general hector gramejo,gen hector gramejo,1.00
general hector gramejo,general hector alejandro gramajo,0.02
general hector gramejo,general hector gramajo,0.02
general hector gramejo,general hector gramajo morales,0.02
general humberto larios,defense minister general humberto larios,1.00
general humberto larios,general rafael humberto larios,0.18
general humberto larios,general rafael humberto larios lopez,0.18
general humberto romero,defense minister humberto romero,1.00
general humberto romero,president carlos humberto romero,0.11
general jaime ruiz barrera,army general jaime ruiz barrera,1.00
general jose guillermo medina sanchez,copper workers union leader guillermo medina,1.00
general juan rafael,general juan rafael bustillo,1.00
general juan rafael bustillo,general juan rafael,0.17
general juan rafael bustillo,general rafael bustillo,1.00
general juan rafael bustillo,general rafael bustillos,0.10
general larios,gen larios,1.00
general larios,gen. larios,1.00
general leigh,former air force commander leigh,1.00
general leigh,gen. leigh,1.00
general manual antonio noriega,contra commander manuel antonio rugama,0.11
general manual antonio noriega,former general manuel antonio noriega,1.00
general manual antonio noriega,general manuel noriega,0.89
general manual antonio noriega,panamanian general manuel antonio noriega,1.00
general manuel jaime guerrero paz,general guerrero paz,1.00
general manuel noriega,former general manuel antonio noriega,1.00
general manuel noriega,general manual antonio noriega,0.90
general manuel noriega,panamanian general manuel antonio noriega,1.00
general maza marquez,das [administrative department of security] director miguel maza marquez,0.16
general maza marquez,director general miguel maza marquez,0.16
general maza marquez,gen maza marquez,1.00
general maza marquez,general director general alfredo maza marquez,0.16
general maza marquez,general miguel alfredo maza marquez,0.16
general maza marquez,general miguel maza marquez,0.16
general miguel alfredo maza,general miguel alfredo maza marquez,1.00
general miguel alfredo maza,general miguel maza,0.78
general miguel alfredo maza marquez,das [administrative department of security] director miguel maza marquez,0.98
general miguel alfredo maza marquez,director general miguel maza marquez,0.98
general miguel alfredo maza marquez,gen maza marquez,0.83
general miguel alfredo maza marquez,general director general alfredo maza marquez,1.00
general miguel alfredo maza marquez,general maza marquez,0.83
general miguel alfredo maza marquez,general miguel alfredo maza,0.77
general miguel alfredo maza marquez,general miguel maza,0.60
general miguel alfredo maza marquez,general miguel maza marquez,0.98
general miguel antonio gomez padilla,gen gomez padilla,0.15
general miguel antonio gomez padilla,general gomez padilla,0.15
general miguel antonio gomez padilla,general miguel gomez padilla,0.17
general miguel antonio gomez padilla,general miguel padilla,0.12
general miguel antonio gomez padilla,major general miguel gomez,0.08
general miguel antonio gomez padilla,national police director miguel antonio gomez padilla,1.00
general miguel gomez padilla,gen gomez padilla,0.84
general miguel gomez padilla,general gomez padilla,0.84
general miguel gomez padilla,general miguel antonio gomez padilla,1.00
general miguel gomez padilla,general miguel padilla,0.72
general miguel gomez padilla,major general miguel gomez,0.44
general miguel gomez padilla,national police director miguel antonio gomez padilla,1.00
general miguel maza,das [administrative department of security] director miguel maza marquez,1.00
general miguel maza,director general miguel maza marquez,1.00
general miguel maza,general miguel alfredo maza,1.00
general miguel maza,general miguel alfredo maza marquez,1.00
general miguel maza,general miguel maza marquez,1.00
general miguel maza marquez,das [administrative department of security] director miguel maza marquez,1.00
general miguel maza marquez,director general miguel maza marquez,1.00
general miguel maza marquez,gen maza marquez,0.15
general miguel maza marquez,general maza marquez,0.15
general miguel maza marquez,general miguel alfredo maza marquez,0.18
general miguel maza marquez,general miguel maza,0.11
general miguel padilla,general miguel antonio gomez padilla,1.00
general miguel padilla,general miguel gomez padilla,1.00
general miguel padilla,national police director miguel antonio gomez padilla,1.00
general mr. javier perez de cuellar,mr javier perez de cuellar,1.00
general mr. javier perez de cuellar,mr perez de cuellar,0.12
general mr. javier perez de cuellar,un secretary general javier perez de cuellar,1.00
general mr. javier perez de cuellar,un secretary general perez de cuellar,0.12
general noriega,dictator noriega,1.00
general noriega,former general noriega,1.00
general noriega,gen noriega,1.00
general octavio vargas silva,director general octavio vargas silva,1.00
general omar torrijos,panamanian general omar torrijos,1.00
general oscar botero restrepo,defense minister oscar botero,1.00
general oscar vargas,minister secretary general of government oscar vargas,1.00
general osvaldo diaz,general osvaldo diaz salvador,1.00
general osvaldo diaz salvador,general osvaldo diaz,1.00
general padilla,gen padilla,1.00
general pinochet,gen. pinochet,1.00
general pinochet,president pinochet,1.00
general prosecutor dr mauricio eduardo colorado,attorney general mauricio colorado,0.19
general prosecutor dr mauricio eduardo colorado,salvadoran attorney general mauricio eduardo colorado,1.00
general rafael antonio villamariona,gen rafael villamariona,1.00
general rafael antonio villamariona,general rafael villamariona,1.00
general rafael bustillo,general juan rafael bustillo,1.00
general rafael bustillo,general rafael bustillos,0.10
general rafael humberto larios,defense minister general humberto larios,0.87
general rafael humberto larios,general humberto larios,0.87
general rafael humberto larios,general rafael humberto larios lopez,1.00
general rafael humberto larios,general rafael larios,0.73
general rafael humberto larios lopez,defense minister general humberto larios,0.87
general rafael humberto larios lopez,general humberto larios,0.87
general rafael humberto larios lopez,general rafael humberto larios,1.00
general rafael humberto larios lopez,general rafael larios,0.73
general rafael larios,general rafael humberto larios,1.00
general rafael larios,general rafael humberto larios lopez,1.00
general rafael villamariona,gen rafael villamariona,1.00
general rafael villamariona,general rafael antonio villamariona,0.25
general ramon eduardo niebles uzcategui,general ramon niebles uzcategui,1.00
general ramon niebles uzcategui,general ramon eduardo niebles uzcategui,1.00
general rodrigues arango,general augusto rodrigues arango of the southern unified command,1.00
general secretary volodia teitelboim,communist leader volodia teitelboim,1.00
general secretary volodia teitelboim,comrade volodia teitelboim,1.00
general villamariona,gen. villamariona,1.00
german gonzalez ramirez,commander gonzalez,1.00
german gonzalez ramirez,fmln commander gonzalez,1.00
german gonzalez ramirez,judge gonzalez,1.00
german gonzalez ramirez,prime minister gonzalez,1.00
"gonzalo rodriguez gacha alias ""the mexican,""","colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.45
"gonzalo rodriguez gacha alias ""the mexican,""",colombian drug trafficker rodriguez gacha,0.08
"gonzalo rodriguez gacha alias ""the mexican,""",drug baron rodriguez gacha,0.08
"gonzalo rodriguez gacha alias ""the mexican,""",drug kingping gonzalo rodriguez gacha (alias the mexican),1.00
"gonzalo rodriguez gacha alias ""the mexican,""","drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.66
"gonzalo rodriguez gacha alias ""the mexican,""","gonzalo rodriguez gacha, a.k.a the mexican",1.00
"gonzalo rodriguez gacha alias ""the mexican,""","gonzalo rodriguez gacha, alias ""el mejicano,""",0.45
"gonzalo rodriguez gacha alias ""the mexican,""","gonzalo rodriguez gacha, alias the mexican",1.00
"gonzalo rodriguez gacha alias ""the mexican,""","gonzalo rodriguez gacha, also known as ""el mexicano,""",0.45
"gonzalo rodriguez gacha alias ""the mexican,""","rodriguez gacha, alias ""the mexican,""",0.63
"gonzalo rodriguez gacha alias ""the mexican,""","rodriguez gacha, alias the mexican",0.63
"gonzalo rodriguez gacha, a.k.a the mexican","colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.45
"gonzalo rodriguez gacha, a.k.a the mexican",colombian drug trafficker rodriguez gacha,0.08
"gonzalo rodriguez gacha, a.k.a the mexican",drug baron rodriguez gacha,0.08
"gonzalo rodriguez gacha, a.k.a the mexican",drug kingping gonzalo rodriguez gacha (alias the mexican),1.00
"gonzalo rodriguez gacha, a.k.a the mexican","drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.66
